"external_id","name_ar","name_en","active","status","review_status","meal_type","operational_category","classification_source","breakfast_suitability","main_meal_suitability","snack_suitability","pre_workout_suitability","post_workout_suitability","pre_workout_conservative_usable","post_workout_conservative_usable","calories","protein_g","carbs_g","fat_g","fiber_g","fiber_source","serving_size","serving_unit","yield_servings","ingredients","preparation_steps_ar","preparation_steps_en","image_path","image_thumb_path","image_status","media_file_status","substitution_profile","allergens","dietary_tags","halal_tag","vegetarian_tag","vegan_tag","suitable_goals","notes","source_origin"
"MEAL-001","وعاء شوفان من الزبادي اليوناني بالقرفة والتمر مع الشوفان","Cinnamon Date Greek Yogurt Oat Bowl with Oats","YES_DERIVED_FROM_PUBLISHED_READY","published","ready","breakfast","BREAKFAST","OFFICIAL_MEAL_TYPE","YES_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO","NO","293","30.3","38.8","1.9","5.1","qa.derived_fiber_g","362","g","1","زبادي يوناني سادة خالي الدسم / Greek yogurt, plain, nonfat: 290g; شوفان ملفوف جاف / Rolled oats, dry: 15g; توت أزرق طازج / Blueberries, raw: 40g; قرفة مطحونة / Ground cinnamon: 2g; تمر مجدول / Medjool dates: 15g","حضّر كمية الشوفان المحددة وضعها في وعاء التقديم. | أضف الزبادي اليوناني والتوت الأزرق وامزج حتى تتوزع المكونات بالتساوي. | أكمل بالتمر والقرفة بالكميات المحددة ثم قدّم حصة واحدة.","Prepare the measured oats and place them in a serving bowl. | Fold in the Greek yogurt and blueberries until evenly distributed. | Finish with the measured dates and cinnamon, then serve one portion.","/nutrition/meals/MEAL-001/cover.webp","/nutrition/meals/MEAL-001/cover-thumb.webp","ready","FILES_PRESENT","{""calorie_band_kcal"":""under_300"",""protein_band_g"":""30_39"",""carb_band_g"":""moderate"",""fat_band_g"":""low"",""meal_type_required"":true,""max_calorie_delta_pct"":10,""max_protein_delta_g"":8,""exclude_allergens"":true}","milk","vegetarian|pescatarian|high_protein","NOT_AVAILABLE","YES_EXPLICIT","NO_EXPLICIT_TAG","fat_loss|maintenance|muscle_gain","Nutrition Library V2. USDA FoodData Central. One serving. Identity is external_id.","USDA FoodData Central — SR Legacy (April 2018 release)"
"MEAL-002","وعاء شوفان من بياض البيض بالكاكاو والموز مع الشوفان","Cocoa Banana Egg White Oat Bowl with Oats","YES_DERIVED_FROM_PUBLISHED_READY","published","ready","breakfast","BREAKFAST","OFFICIAL_MEAL_TYPE","YES_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO","NO","422","36.9","49.2","8.7","9.9","qa.derived_fiber_g","463","g","1","بياض بيض طازج / Egg white, raw, fresh: 260g; شوفان ملفوف جاف / Rolled oats, dry: 25g; زبدة فول سوداني ناعمة / Smooth peanut butter: 10g; برتقال طازج / Orange, raw: 80g; توت أزرق طازج / Blueberries, raw: 50g; مسحوق كاكاو غير محلى / Unsweetened cocoa powder: 8g; موز طازج / Banana, raw: 30g","اطهُ كمية الشوفان المحددة حتى تصبح كثيفة وتغلي برفق. | أضف بياض البيض تدريجيًا مع التحريك المستمر على نار هادئة إلى متوسطة حتى يصبح معتمًا تمامًا وتصل حرارته الداخلية إلى 74°م (165°ف). | أضف الكاكاو والموز ثم زيّن بالبرتقال والتوت الأزرق وزبدة الفول السوداني بالكمية المحددة وقدّم فورًا.","Cook the measured oats until thick and gently simmering. | Whisk in the egg whites gradually and cook over medium-low heat, stirring continuously, until fully opaque and the center reaches 74°C (165°F). | Stir in the cocoa and banana, then top with orange, blueberries and the measured peanut butter; serve immediately.","/nutrition/meals/MEAL-002/cover.webp","/nutrition/meals/MEAL-002/cover-thumb.webp","ready","FILES_PRESENT","{""calorie_band_kcal"":""300_449"",""protein_band_g"":""30_39"",""carb_band_g"":""moderate"",""fat_band_g"":""moderate"",""meal_type_required"":true,""max_calorie_delta_pct"":10,""max_protein_delta_g"":8,""exclude_allergens"":true}","egg|peanuts","vegetarian|pescatarian|high_protein|high_fiber","NOT_AVAILABLE","YES_EXPLICIT","NO_EXPLICIT_TAG","fat_loss|maintenance|muscle_gain","Nutrition Library V2. USDA FoodData Central. One serving. Identity is external_id.","USDA FoodData Central — SR Legacy (April 2018 release)"
"MEAL-003","مقلاة فطور من بياض البيض بالكمون والليمون الأخضر مع التفاح","Cumin Lime Egg White Breakfast Skillet with Apple","YES_DERIVED_FROM_PUBLISHED_READY","published","ready","breakfast","BREAKFAST","OFFICIAL_MEAL_TYPE","YES_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO","NO","314","30.9","23.3","10.8","4","qa.derived_fiber_g","425","g","1","بياض بيض طازج / Egg white, raw, fresh: 210g; تفاح طازج بالقشر / Apple with skin, raw: 120g; جبن فيتا / Feta cheese: 45g; فطر أبيض مطهو / White mushrooms, cooked: 40g; كمون / Cumin seed: 2g; عصير ليمون أخضر طازج / Lime juice, raw: 8g","سخّن الفطر المطهو مع الكمون في مقلاة غير لاصقة ثم أضف قطع التفاح. | اسكب بياض البيض واطهه مع التحريك حتى يصبح معتمًا تمامًا وتصل حرارته الداخلية إلى 74°م (165°ف). | ارفع المقلاة عن النار وأضف جبن الفيتا وعصير الليمون الأخضر بالكمية المحددة ثم قدّم حصة واحدة.","Warm the cooked mushrooms with cumin in a nonstick skillet, then add the apple pieces. | Pour in the egg whites and cook, stirring, until fully opaque and the center reaches 74°C (165°F). | Remove from the heat, add the feta and measured lime juice, and serve one skillet portion.","/nutrition/meals/MEAL-003/cover.webp","/nutrition/meals/MEAL-003/cover-thumb.webp","ready","FILES_PRESENT","{""calorie_band_kcal"":""300_449"",""protein_band_g"":""30_39"",""carb_band_g"":""low"",""fat_band_g"":""moderate"",""meal_type_required"":true,""max_calorie_delta_pct"":10,""max_protein_delta_g"":8,""exclude_allergens"":true}","milk|egg","vegetarian|pescatarian|gluten_free|high_protein","NOT_AVAILABLE","YES_EXPLICIT","NO_EXPLICIT_TAG","fat_loss|maintenance|muscle_gain","Nutrition Library V2. USDA FoodData Central. One serving. Identity is external_id.","USDA FoodData Central — SR Legacy (April 2018 release)"
"MEAL-004","طبق شوفان مالح بالزنجبيل والصويا مع الزبادي اليوناني","Savory Ginger-Soy Oat Plate with Greek Yogurt","YES_DERIVED_FROM_PUBLISHED_READY","published","ready","breakfast","BREAKFAST","OFFICIAL_MEAL_TYPE","YES_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO","NO","284","24.8","36.2","4.5","6.7","qa.derived_fiber_g","286","g","1","زبادي يوناني سادة خالي الدسم / Greek yogurt, plain, nonfat: 190g; شوفان ملفوف جاف / Rolled oats, dry: 35g; بذور شيا مجففة / Dried chia seeds: 5g; خس روماني طازج / Romaine lettuce, raw: 40g; زنجبيل طازج / Ginger root, raw: 8g; صلصة صويا قليلة الصوديوم / Reduced-sodium soy sauce: 8g","اطهُ الشوفان حتى يصبح كريمي القوام ثم أضف الزنجبيل وصلصة الصويا بالكميات المحددة. | ضع الخس الروماني في الطبق وقدّم الشوفان المالح الدافئ إلى جانبه. | أضف الزبادي اليوناني باردًا ورش بذور الشيا بالكمية المحددة ثم قدّم طبقًا واحدًا.","Cook the oats until creamy, then stir in the measured ginger and soy sauce. | Place the romaine on a plate and spoon the warm savory oats beside it. | Add the Greek yogurt cold and sprinkle with the measured chia; serve one plate.","/nutrition/meals/MEAL-004/cover.webp","/nutrition/meals/MEAL-004/cover-thumb.webp","ready","FILES_PRESENT","{""calorie_band_kcal"":""under_300"",""protein_band_g"":""20_29"",""carb_band_g"":""moderate"",""fat_band_g"":""low"",""meal_type_required"":true,""max_calorie_delta_pct"":10,""max_protein_delta_g"":8,""exclude_allergens"":true}","milk|soy","vegetarian|pescatarian|high_fiber","NOT_AVAILABLE","YES_EXPLICIT","NO_EXPLICIT_TAG","fat_loss|maintenance|muscle_gain","Nutrition Library V2. USDA FoodData Central. One serving. Identity is external_id.","USDA FoodData Central — SR Legacy (April 2018 release)"
"MEAL-005","وعاء شوفان بالحليب والتوت وبذور الكتان والشيا","Berry Flax-Chia Milk Oat Bowl","YES_DERIVED_FROM_PUBLISHED_READY","published","ready","breakfast","BREAKFAST","OFFICIAL_MEAL_TYPE","YES_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO","NO","299","13.1","32.7","12.9","10.3","qa.derived_fiber_g","253","g","1","حليب خالي الدسم / Milk, nonfat: 170g; شوفان ملفوف جاف / Rolled oats, dry: 15g; بذور كتان / Flaxseed: 25g; توت أزرق طازج / Blueberries, raw: 40g; بذور شيا مجففة / Dried chia seeds: 3g","اخلط الشوفان والحليب وبذور الكتان بالكميات المحددة حتى تتجانس. | برّد الخليط حتى يلين الشوفان وتساعد بذور الكتان على زيادة كثافته. | أضف التوت الأزرق والكمية الأصغر المحددة من بذور الشيا ثم قدّم وعاءً واحدًا.","Stir the oats, milk and measured flaxseed together until evenly combined. | Chill until the oats soften and the flax thickens the mixture. | Top with blueberries and the smaller measured portion of chia, then serve one bowl.","/nutrition/meals/MEAL-005/cover.webp","/nutrition/meals/MEAL-005/cover-thumb.webp","ready","FILES_PRESENT","{""calorie_band_kcal"":""under_300"",""protein_band_g"":""under_20"",""carb_band_g"":""moderate"",""fat_band_g"":""moderate"",""meal_type_required"":true,""max_calorie_delta_pct"":10,""max_protein_delta_g"":8,""exclude_allergens"":true}","milk","vegetarian|pescatarian|high_fiber|omega_3","NOT_AVAILABLE","YES_EXPLICIT","NO_EXPLICIT_TAG","fat_loss|maintenance","Nutrition Library V2. USDA FoodData Central. One serving. Identity is external_id.","USDA FoodData Central — SR Legacy (April 2018 release)"
"MEAL-006","وعاء فطور بحليب الصويا والتفاح والبرتقال مع الشيا والكتان","Orange Apple Chia-Flax Soy Breakfast Bowl","YES_DERIVED_FROM_PUBLISHED_READY","published","ready","breakfast","BREAKFAST","OFFICIAL_MEAL_TYPE","YES_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO","NO","389","13.9","51.2","14.3","14.7","qa.derived_fiber_g","477","g","1","حليب صويا سادة / Soy milk, plain: 250g; تفاح طازج بالقشر / Apple with skin, raw: 120g; بذور كتان / Flaxseed: 12g; برتقال طازج / Orange, raw: 80g; بذور شيا مجففة / Dried chia seeds: 15g","اخفق حليب الصويا مع بذور الشيا والكتان بالكميات المحددة حتى تتوزع بالتساوي. | اترك الخليط 10 دقائق حتى يزداد كثافة ثم أضف التفاح والبرتقال برفق. | حرّك مرة أخيرة وقدّم الكمية الكاملة المقاسة كحصة واحدة.","Whisk the soy milk with the measured chia and flaxseed until evenly dispersed. | Rest for 10 minutes so the seed mixture thickens, then fold in the apple and orange. | Stir once more and serve the full measured bowl as one portion.","/nutrition/meals/MEAL-006/cover.webp","/nutrition/meals/MEAL-006/cover-thumb.webp","ready","FILES_PRESENT","{""calorie_band_kcal"":""300_449"",""protein_band_g"":""under_20"",""carb_band_g"":""high"",""fat_band_g"":""moderate"",""meal_type_required"":true,""max_calorie_delta_pct"":10,""max_protein_delta_g"":8,""exclude_allergens"":true}","soy","vegetarian|vegan|pescatarian|gluten_free|high_fiber|omega_3","NOT_AVAILABLE","YES_EXPLICIT","YES_EXPLICIT","fat_loss|maintenance","Nutrition Library V2. USDA FoodData Central. One serving. Identity is external_id.","USDA FoodData Central — SR Legacy (April 2018 release)"
"MEAL-007","وعاء فطور نباتي من التوفو بالليمون والأعشاب مع الكينوا","Lemon Herb Tofu Plant Breakfast Bowl with Quinoa","YES_DERIVED_FROM_PUBLISHED_READY","published","ready","breakfast","BREAKFAST","OFFICIAL_MEAL_TYPE","YES_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO","NO","286","24.6","17.4","13.1","6.1","qa.derived_fiber_g","236","g","1","توفو متماسك محضر بالكالسيوم / Firm tofu prepared with calcium: 120g; كينوا مطهوة / Quinoa, cooked: 50g; أفوكادو طازج / Avocado, raw: 10g; سبانخ مطهوة / Spinach, cooked: 40g; عصير ليمون طازج / Lemon juice, raw: 8g; بقدونس طازج / Fresh parsley: 8g","حضّر الكينوا بالكمية المحددة وضعه في وعاء التقديم. | أضف التوفو مع السبانخ وامزج حتى تتوزع المكونات بالتساوي. | أكمل بالكمية المحددة من الأفوكادو ومكونات نكهة بالليمون والأعشاب ثم قدّم حصة واحدة.","Prepare the quinoa for the listed serving and place it in a bowl. | Fold in the tofu with spinach until evenly distributed. | Finish with the measured avocado and the lemon herb ingredients, then serve one portion.","/nutrition/meals/MEAL-007/cover.webp","/nutrition/meals/MEAL-007/cover-thumb.webp","ready","FILES_PRESENT","{""calorie_band_kcal"":""under_300"",""protein_band_g"":""20_29"",""carb_band_g"":""low"",""fat_band_g"":""moderate"",""meal_type_required"":true,""max_calorie_delta_pct"":10,""max_protein_delta_g"":8,""exclude_allergens"":true}","soy","vegetarian|vegan|pescatarian|gluten_free|high_fiber","NOT_AVAILABLE","YES_EXPLICIT","YES_EXPLICIT","fat_loss|maintenance|muscle_gain","Nutrition Library V2. USDA FoodData Central. One serving. Identity is external_id.","USDA FoodData Central — SR Legacy (April 2018 release)"
"MEAL-008","وعاء شوفان بجبن القريش والحمضيات والتوت","Citrus Berry Cottage Cheese Oat Bowl","YES_DERIVED_FROM_PUBLISHED_READY","published","ready","breakfast","BREAKFAST","OFFICIAL_MEAL_TYPE","YES_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO","NO","448","24.7","65.3","9.8","11.9","qa.derived_fiber_g","365","g","1","جبن قريش قليل الدسم 2٪ / Cottage cheese, lowfat, 2% milkfat: 150g; شوفان ملفوف جاف / Rolled oats, dry: 45g; بذور شيا مجففة / Dried chia seeds: 10g; برتقال طازج / Orange, raw: 80g; توت أزرق طازج / Blueberries, raw: 50g; موز طازج / Banana, raw: 30g","اطهُ كمية الشوفان المحددة حتى تلين ثم اتركها تبرد لمدة 5 دقائق. | أضف جبن القريش ورتّب البرتقال والتوت الأزرق والموز فوق الوعاء. | أكمل ببذور الشيا بالكمية المحددة وقدّم حصة كاملة واحدة.","Cook the measured oats until tender, then let them cool for 5 minutes. | Add the cottage cheese and arrange the orange, blueberries and banana over the bowl. | Finish with the measured chia and serve one complete portion.","/nutrition/meals/MEAL-008/cover.webp","/nutrition/meals/MEAL-008/cover-thumb.webp","ready","FILES_PRESENT","{""calorie_band_kcal"":""300_449"",""protein_band_g"":""20_29"",""carb_band_g"":""high"",""fat_band_g"":""moderate"",""meal_type_required"":true,""max_calorie_delta_pct"":10,""max_protein_delta_g"":8,""exclude_allergens"":true}","milk","vegetarian|pescatarian|high_fiber|omega_3","NOT_AVAILABLE","YES_EXPLICIT","NO_EXPLICIT_TAG","fat_loss|maintenance|muscle_gain","Nutrition Library V2. USDA FoodData Central. One serving. Identity is external_id.","USDA FoodData Central — SR Legacy (April 2018 release)"
"MEAL-009","بودينغ فطور من الزبادي اليوناني بالتفاح والقرفة مع الموز","Apple Cinnamon Greek Yogurt Breakfast Pudding with Banana","YES_DERIVED_FROM_PUBLISHED_READY","published","ready","breakfast","BREAKFAST","OFFICIAL_MEAL_TYPE","YES_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO","NO","448","25.1","54.6","14.3","8.6","qa.derived_fiber_g","462","g","1","زبادي يوناني سادة خالي الدسم / Greek yogurt, plain, nonfat: 210g; موز طازج / Banana, raw: 120g; جوز / Walnuts: 20g; توت أزرق طازج / Blueberries, raw: 80g; تفاح طازج بالقشر / Apple with skin, raw: 30g; قرفة مطحونة / Ground cinnamon: 2g","حضّر الموز بالكمية المحددة وضعه في وعاء التقديم. | أضف الزبادي اليوناني مع الموز والتوت الأزرق وامزج حتى تتوزع المكونات بالتساوي. | أكمل بالكمية المحددة من الجوز ومكونات نكهة بالتفاح والقرفة ثم قدّم حصة واحدة.","Prepare the banana for the listed serving and place it in a bowl. | Fold in the greek yogurt with banana and blueberries until evenly distributed. | Finish with the measured walnuts and the apple cinnamon ingredients, then serve one portion.","/nutrition/meals/MEAL-009/cover.webp","/nutrition/meals/MEAL-009/cover-thumb.webp","ready","FILES_PRESENT","{""calorie_band_kcal"":""300_449"",""protein_band_g"":""20_29"",""carb_band_g"":""high"",""fat_band_g"":""moderate"",""meal_type_required"":true,""max_calorie_delta_pct"":10,""max_protein_delta_g"":8,""exclude_allergens"":true}","milk|tree_nuts","vegetarian|pescatarian|gluten_free|high_fiber|omega_3","NOT_AVAILABLE","YES_EXPLICIT","NO_EXPLICIT_TAG","fat_loss|maintenance|muscle_gain","Nutrition Library V2. USDA FoodData Central. One serving. Identity is external_id.","USDA FoodData Central — SR Legacy (April 2018 release)"
"MEAL-010","وعاء فطور بالتمبيه والبطاطا الحلوة مع الزنجبيل والصويا","Ginger-Soy Tempeh and Sweet Potato Breakfast Bowl","YES_DERIVED_FROM_PUBLISHED_READY","published","ready","breakfast","BREAKFAST","OFFICIAL_MEAL_TYPE","YES_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO_OFFICIAL","NO","NO","482","34.6","46.2","17.6","6.7","qa.derived_fiber_g","416","g","1","تمبيه مطهو / Tempeh, cooked: 150g; بطاطا حلوة مشوية / Baked sweet potato: 120g; خس روماني طازج / Romaine lettuce, raw: 80g; بصل طازج / Onion, raw: 50g; زنجبيل طازج / Ginger root, raw: 8g; صلصة صويا قليلة الصوديوم / Reduced-sodium soy sauce: 8g","سخّن التمبيه المطهو والبطاطا الحلوة المشوية حتى يسخنا بالكامل. | ليّن البصل مع الزنجبيل بالكمية المحددة في مقلاة غير لاصقة ثم أضف التمبيه والبطاطا الحلوة. | قدّم الخليط فوق الخس الروماني وأكمل بصلصة الصويا بالكمية المحددة.","Warm the cooked tempeh and baked sweet potato until hot throughout. | Soften the onion with the measured ginger in a nonstick pan, then add the tempeh and sweet potato. | Serve over the romaine and finish with the measured soy sauce.","/nutrition/meals/MEAL-010/cover.webp","/nutrition/meals/MEAL-010/cover-thumb.webp","ready","FILES_PRESENT","{""calorie_band_kcal"":""450_599"",""protein_band_g"":""30_39"",""carb_band_g"":""moderate"",""fat_band_g"":""moderate"",""meal_type_required"":true,""max_calorie_delta_pct"":10,""max_protein_delta_g"":8,""exclude_allergens"":true}","soy","vegetarian|vegan|pescatarian|high_protein|high_fiber","NOT_AVAILABLE","YES_EXPLICIT","YES_EXPLICIT","fat_loss|maintenance|muscle_gain","Nutrition Library V2. USDA FoodData Central. One serving. Identity is external_id.","USDA FoodData Central — SR Legacy (April 2018 release)"
