"external_id","name_ar","name_en","meal_type","suitable_goals","dietary_tags","allergens","calories","protein_g","carbs_g","fat_g","serving_size","serving_unit","preparation_time_minutes","image_reference","image_status","status","review_status"
"MEAL-001","شوفان الزبادي بالموز والتوت","Banana Berry Yogurt Oats","breakfast","fat_loss|maintenance|muscle_gain","vegetarian|high_fiber","milk","450","27","70","6.9","378","g","8","images/MEAL-001.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-002","توست الأفوكادو والبيض","Egg & Avocado Toast","breakfast","maintenance|muscle_gain","","egg|gluten","474","24.9","42.1","22.9","320","g","12","images/MEAL-002.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-003","أومليت السبانخ مع الخبز","Spinach Omelet with Toast","breakfast","fat_loss|maintenance","high_protein","egg|gluten","414","34.6","27.7","18.3","415","g","15","images/MEAL-003.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-004","وعاء الكينوا والزبادي والتفاح","Apple Quinoa Yogurt Bowl","breakfast","maintenance|muscle_gain","vegetarian","milk|tree_nuts","471","27.7","64.5","11.3","463","g","8","images/MEAL-004.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-005","دجاج مشوي مع الأرز والخضار","Grilled Chicken, Rice & Vegetables","lunch","fat_loss|maintenance|muscle_gain","high_protein","","622","57.5","64.5","14.9","528","g","30","images/MEAL-005.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-006","سلمون مع البطاطس والبروكلي","Salmon, Potato & Broccoli","lunch","maintenance|muscle_gain","pescatarian|omega_3","fish","591","40.1","52.9","24.3","495","g","30","images/MEAL-006.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-007","وعاء اللحم والبرغل","Beef & Bulgur Bowl","lunch","maintenance|muscle_gain","high_protein","","569","46.3","41","24.4","536","g","25","images/MEAL-007.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-008","سلطة تونة ومعكرونة","Tuna Pasta Salad","lunch","fat_loss|maintenance","high_protein|pescatarian","fish|gluten|milk","563","55.4","76.1","4.1","550","g","18","images/MEAL-008.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-009","لفافة ديك رومي وأفوكادو","Turkey Avocado Wrap","lunch","fat_loss|maintenance","high_protein","gluten|milk","510","49.5","43.7","15.2","405","g","12","images/MEAL-009.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-010","وعاء حمص وكينوا بالطحينة","Chickpea Quinoa Tahini Bowl","lunch","maintenance|muscle_gain","vegan|high_fiber","sesame","615","25.9","89.2","17.2","538","g","15","images/MEAL-010.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-011","شوربة عدس مع خبز كامل","Lentil Soup with Whole-Wheat Bread","dinner","fat_loss|maintenance","vegan|high_fiber","gluten","553","32","86.1","8.9","515","g","30","images/MEAL-011.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-012","توفو وبطاطا حلوة وخضار","Tofu, Sweet Potato & Greens","dinner","fat_loss|maintenance","vegan","soy","594","38.4","59.2","22.6","526","g","30","images/MEAL-012.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-013","روبيان مع الكسكس والخضار","Shrimp Couscous Bowl","dinner","fat_loss|maintenance","high_protein|pescatarian","shellfish|gluten","493","50.7","55.9","7.4","536","g","20","images/MEAL-013.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-014","سمك القد مع الأرز والسبانخ","Cod, Rice & Spinach","dinner","fat_loss|maintenance","high_protein|pescatarian","fish","486","48.5","51.5","9.5","457","g","22","images/MEAL-014.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-015","جبن قريش بالتفاح واللوز","Cottage Cheese, Apple & Almonds","snack","fat_loss|maintenance","vegetarian|high_protein","milk|tree_nuts","319","22.9","25.3","14","312","g","5","images/MEAL-015.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-016","زبادي بالتوت والشيا","Berry Chia Yogurt","snack","fat_loss|maintenance","vegetarian|high_protein","milk","226","23.3","23.4","4.3","310","g","3","images/MEAL-016.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-017","موز بزبدة الفول السوداني","Banana with Peanut Butter","pre_workout","maintenance|muscle_gain","vegetarian","peanuts","254","6.4","33.6","10.4","150","g","2","images/MEAL-017.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-018","شوفان بالحليب والتمر","Date Milk Oats","pre_workout","maintenance|muscle_gain","vegetarian","milk","405","13.2","66.3","9.7","280","g","8","images/MEAL-018.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-019","مخفوق واي بالموز والحليب","Banana Whey Recovery Shake","post_workout","maintenance|muscle_gain","high_protein","milk","399","33.3","42.4","10.7","400","g","3","images/MEAL-019.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
"MEAL-020","وعاء دجاج وأرز بعد التمرين","Post-Workout Chicken Rice Bowl","post_workout","muscle_gain|maintenance","high_protein","","646","64.1","69.2","12.5","505","g","25","images/MEAL-020.png","ready","pilot","content_and_image_qa_passed_nutritionist_review_required"
