external_id,name_ar,name_en,quantity,unit
MEAL-101,شوفان,Oats,55,g
MEAL-101,زبادي يوناني,Greek yogurt,140,g
MEAL-101,موز,Banana,90,g
MEAL-101,بذور الشيا,Chia seeds,10,g
MEAL-101,عسل,Honey,8,g
MEAL-101,الليمون والأعشاب,Lemon Herb seasoning,2,g
MEAL-102,بيض,Egg,100,g
MEAL-102,بياض البيض,Egg whites,100,g
MEAL-102,سبانخ,Spinach,70,g
MEAL-102,خبز قمح كامل,Whole-wheat bread,70,g
MEAL-102,زيت زيتون,Olive oil,5,g
MEAL-102,الثوم والبابريكا,Garlic Paprika seasoning,2,g
MEAL-103,جبن قريش,Cottage cheese,180,g
MEAL-103,برتقال,Orange,110,g
MEAL-103,لوز,Almonds,15,g
MEAL-103,خبز قمح كامل,Whole-wheat bread,55,g
MEAL-103,الكمون والكزبرة,Cumin Coriander seasoning,2,g
MEAL-104,شوفان,Oats,45,g
MEAL-104,حليب قليل الدسم,Low-fat milk,220,g
MEAL-104,موز,Banana,90,g
MEAL-104,زبدة فول سوداني,Peanut butter,14,g
MEAL-104,كاكاو غير محلى,Unsweetened cocoa,5,g
MEAL-105,شوفان,Oats,59,g
MEAL-105,زبادي يوناني,Greek yogurt,140,g
MEAL-105,توت مشكل,Mixed berries,90,g
MEAL-105,بذور الشيا,Chia seeds,10,g
MEAL-105,عسل,Honey,8,g
MEAL-105,السماق والنعناع,Sumac Mint seasoning,2,g
MEAL-106,بيض,Egg,100,g
MEAL-106,بياض البيض,Egg whites,100,g
MEAL-106,سبانخ,Spinach,70,g
MEAL-106,خبز قمح كامل,Whole-wheat bread,70,g
MEAL-106,زيت زيتون,Olive oil,5,g
MEAL-106,الزنجبيل والليمون الأخضر,Ginger Lime seasoning,2,g
MEAL-107,جبن قريش,Cottage cheese,180,g
MEAL-107,موز,Banana,110,g
MEAL-107,لوز,Almonds,15,g
MEAL-107,خبز قمح كامل,Whole-wheat bread,55,g
MEAL-107,الشبت والحمضيات,Dill Citrus seasoning,2,g
MEAL-108,شوفان,Oats,45,g
MEAL-108,حليب قليل الدسم,Low-fat milk,220,g
MEAL-108,موز,Banana,90,g
MEAL-108,زبدة فول سوداني,Peanut butter,14,g
MEAL-108,كاكاو غير محلى,Unsweetened cocoa,5,g
MEAL-109,شوفان,Oats,63,g
MEAL-109,زبادي يوناني,Greek yogurt,140,g
MEAL-109,برتقال,Orange,90,g
MEAL-109,بذور الشيا,Chia seeds,10,g
MEAL-109,عسل,Honey,8,g
MEAL-109,القرفة والفانيليا,Cinnamon Vanilla seasoning,2,g
MEAL-110,بيض,Egg,100,g
MEAL-110,بياض البيض,Egg whites,100,g
MEAL-110,سبانخ,Spinach,70,g
MEAL-110,خبز قمح كامل,Whole-wheat bread,70,g
MEAL-110,زيت زيتون,Olive oil,5,g
MEAL-110,الهيل والسمسم,Cardamom Sesame seasoning,2,g
MEAL-111,جبن قريش,Cottage cheese,180,g
MEAL-111,توت مشكل,Mixed berries,110,g
MEAL-111,لوز,Almonds,15,g
MEAL-111,خبز قمح كامل,Whole-wheat bread,55,g
MEAL-111,الكركم والفلفل,Turmeric Pepper seasoning,2,g
MEAL-112,شوفان,Oats,45,g
MEAL-112,حليب قليل الدسم,Low-fat milk,220,g
MEAL-112,موز,Banana,90,g
MEAL-112,زبدة فول سوداني,Peanut butter,14,g
MEAL-112,كاكاو غير محلى,Unsweetened cocoa,5,g
MEAL-113,شوفان,Oats,56,g
MEAL-113,زبادي يوناني,Greek yogurt,140,g
MEAL-113,موز,Banana,90,g
MEAL-113,بذور الشيا,Chia seeds,10,g
MEAL-113,عسل,Honey,8,g
MEAL-113,الليمون والأعشاب,Lemon Herb seasoning,2,g
MEAL-114,بيض,Egg,100,g
MEAL-114,بياض البيض,Egg whites,100,g
MEAL-114,سبانخ,Spinach,70,g
MEAL-114,خبز قمح كامل,Whole-wheat bread,70,g
MEAL-114,زيت زيتون,Olive oil,5,g
MEAL-114,الثوم والبابريكا,Garlic Paprika seasoning,2,g
MEAL-115,جبن قريش,Cottage cheese,180,g
MEAL-115,برتقال,Orange,110,g
MEAL-115,لوز,Almonds,15,g
MEAL-115,خبز قمح كامل,Whole-wheat bread,55,g
MEAL-115,الكمون والكزبرة,Cumin Coriander seasoning,2,g
MEAL-116,شوفان,Oats,45,g
MEAL-116,حليب قليل الدسم,Low-fat milk,220,g
MEAL-116,موز,Banana,90,g
MEAL-116,زبدة فول سوداني,Peanut butter,14,g
MEAL-116,كاكاو غير محلى,Unsweetened cocoa,5,g
MEAL-117,شوفان,Oats,60,g
MEAL-117,زبادي يوناني,Greek yogurt,140,g
MEAL-117,توت مشكل,Mixed berries,90,g
MEAL-117,بذور الشيا,Chia seeds,10,g
MEAL-117,عسل,Honey,8,g
MEAL-117,السماق والنعناع,Sumac Mint seasoning,2,g
MEAL-118,بيض,Egg,100,g
MEAL-118,بياض البيض,Egg whites,100,g
MEAL-118,سبانخ,Spinach,70,g
MEAL-118,خبز قمح كامل,Whole-wheat bread,70,g
MEAL-118,زيت زيتون,Olive oil,5,g
MEAL-118,الزنجبيل والليمون الأخضر,Ginger Lime seasoning,2,g
MEAL-119,جبن قريش,Cottage cheese,180,g
MEAL-119,موز,Banana,110,g
MEAL-119,لوز,Almonds,15,g
MEAL-119,خبز قمح كامل,Whole-wheat bread,55,g
MEAL-119,الشبت والحمضيات,Dill Citrus seasoning,2,g
MEAL-120,شوفان,Oats,45,g
MEAL-120,حليب قليل الدسم,Low-fat milk,220,g
MEAL-120,موز,Banana,90,g
MEAL-120,زبدة فول سوداني,Peanut butter,14,g
MEAL-120,كاكاو غير محلى,Unsweetened cocoa,5,g
MEAL-121,شوفان,Oats,64,g
MEAL-121,زبادي يوناني,Greek yogurt,140,g
MEAL-121,برتقال,Orange,90,g
MEAL-121,بذور الشيا,Chia seeds,10,g
MEAL-121,عسل,Honey,8,g
MEAL-121,القرفة والفانيليا,Cinnamon Vanilla seasoning,2,g
MEAL-122,بيض,Egg,100,g
MEAL-122,بياض البيض,Egg whites,100,g
MEAL-122,سبانخ,Spinach,70,g
MEAL-122,خبز قمح كامل,Whole-wheat bread,70,g
MEAL-122,زيت زيتون,Olive oil,5,g
MEAL-122,الهيل والسمسم,Cardamom Sesame seasoning,2,g
MEAL-123,جبن قريش,Cottage cheese,180,g
MEAL-123,توت مشكل,Mixed berries,110,g
MEAL-123,لوز,Almonds,15,g
MEAL-123,خبز قمح كامل,Whole-wheat bread,55,g
MEAL-123,الكركم والفلفل,Turmeric Pepper seasoning,2,g
MEAL-124,شوفان,Oats,45,g
MEAL-124,حليب قليل الدسم,Low-fat milk,220,g
MEAL-124,موز,Banana,90,g
MEAL-124,زبدة فول سوداني,Peanut butter,14,g
MEAL-124,كاكاو غير محلى,Unsweetened cocoa,5,g
MEAL-125,شوفان,Oats,57,g
MEAL-125,زبادي يوناني,Greek yogurt,140,g
MEAL-125,موز,Banana,90,g
MEAL-125,بذور الشيا,Chia seeds,10,g
MEAL-125,عسل,Honey,8,g
MEAL-125,الليمون والأعشاب,Lemon Herb seasoning,2,g
MEAL-126,بيض,Egg,100,g
MEAL-126,بياض البيض,Egg whites,100,g
MEAL-126,سبانخ,Spinach,70,g
MEAL-126,خبز قمح كامل,Whole-wheat bread,70,g
MEAL-126,زيت زيتون,Olive oil,5,g
MEAL-126,الثوم والبابريكا,Garlic Paprika seasoning,2,g
MEAL-127,جبن قريش,Cottage cheese,180,g
MEAL-127,برتقال,Orange,110,g
MEAL-127,لوز,Almonds,15,g
MEAL-127,خبز قمح كامل,Whole-wheat bread,55,g
MEAL-128,شوفان,Oats,45,g
MEAL-128,حليب قليل الدسم,Low-fat milk,220,g
MEAL-128,موز,Banana,90,g
MEAL-128,زبدة فول سوداني,Peanut butter,14,g
MEAL-128,كاكاو غير محلى,Unsweetened cocoa,5,g
MEAL-129,شوفان,Oats,61,g
MEAL-129,زبادي يوناني,Greek yogurt,140,g
MEAL-129,توت مشكل,Mixed berries,90,g
MEAL-129,بذور الشيا,Chia seeds,10,g
MEAL-129,عسل,Honey,8,g
MEAL-130,بيض,Egg,100,g
MEAL-130,بياض البيض,Egg whites,100,g
MEAL-130,سبانخ,Spinach,70,g
MEAL-130,خبز قمح كامل,Whole-wheat bread,70,g
MEAL-130,زيت زيتون,Olive oil,5,g
MEAL-130,الزنجبيل والليمون الأخضر,Ginger Lime seasoning,2,g
MEAL-131,جبن قريش,Cottage cheese,180,g
MEAL-131,موز,Banana,110,g
MEAL-131,لوز,Almonds,15,g
MEAL-131,خبز قمح كامل,Whole-wheat bread,55,g
MEAL-132,شوفان,Oats,45,g
MEAL-132,حليب قليل الدسم,Low-fat milk,220,g
MEAL-132,موز,Banana,90,g
MEAL-132,زبدة فول سوداني,Peanut butter,14,g
MEAL-132,كاكاو غير محلى,Unsweetened cocoa,5,g
MEAL-133,شوفان,Oats,65,g
MEAL-133,زبادي يوناني,Greek yogurt,140,g
MEAL-133,برتقال,Orange,90,g
MEAL-133,بذور الشيا,Chia seeds,10,g
MEAL-133,عسل,Honey,8,g
MEAL-134,بيض,Egg,100,g
MEAL-134,بياض البيض,Egg whites,100,g
MEAL-134,سبانخ,Spinach,70,g
MEAL-134,خبز قمح كامل,Whole-wheat bread,70,g
MEAL-134,زيت زيتون,Olive oil,5,g
MEAL-135,جبن قريش,Cottage cheese,180,g
MEAL-135,توت مشكل,Mixed berries,110,g
MEAL-135,لوز,Almonds,15,g
MEAL-135,خبز قمح كامل,Whole-wheat bread,55,g
MEAL-136,شوفان,Oats,45,g
MEAL-136,حليب قليل الدسم,Low-fat milk,220,g
MEAL-136,موز,Banana,90,g
MEAL-136,زبدة فول سوداني,Peanut butter,14,g
MEAL-136,كاكاو غير محلى,Unsweetened cocoa,5,g
MEAL-137,شوفان,Oats,58,g
MEAL-137,زبادي يوناني,Greek yogurt,140,g
MEAL-137,موز,Banana,90,g
MEAL-137,بذور الشيا,Chia seeds,10,g
MEAL-137,عسل,Honey,8,g
MEAL-138,صدر دجاج,Chicken breast,130,g
MEAL-138,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-138,بروكلي,Broccoli,90,g
MEAL-138,فلفل رومي,Bell pepper,70,g
MEAL-138,زيت زيتون,Olive oil,7,g
MEAL-138,الثوم والبابريكا,Garlic Paprika seasoning,2,g
MEAL-139,صدر ديك رومي,Turkey breast,140,g
MEAL-139,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-139,سبانخ,Spinach,90,g
MEAL-139,خيار,Cucumber,70,g
MEAL-139,زيت زيتون,Olive oil,7,g
MEAL-139,الكمون والكزبرة,Cumin Coriander seasoning,2,g
MEAL-140,سلمون,Salmon,150,g
MEAL-140,بطاطس,Potato,190,g
MEAL-140,بروكلي,Broccoli,90,g
MEAL-140,فلفل رومي,Bell pepper,70,g
MEAL-140,زيت زيتون,Olive oil,7,g
MEAL-140,إكليل الجبل والفلفل,Rosemary Pepper seasoning,2,g
MEAL-141,تونة,Tuna,160,g
MEAL-141,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-141,سبانخ,Spinach,90,g
MEAL-141,خيار,Cucumber,70,g
MEAL-141,زيت زيتون,Olive oil,7,g
MEAL-141,السماق والنعناع,Sumac Mint seasoning,2,g
MEAL-142,روبيان,Shrimp,130,g
MEAL-142,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-142,بروكلي,Broccoli,90,g
MEAL-142,فلفل رومي,Bell pepper,70,g
MEAL-142,زيت زيتون,Olive oil,7,g
MEAL-142,الزنجبيل والليمون الأخضر,Ginger Lime seasoning,2,g
MEAL-143,لحم بقري قليل الدهن,Lean beef,140,g
MEAL-143,بطاطس,Potato,190,g
MEAL-143,سبانخ,Spinach,90,g
MEAL-143,خيار,Cucumber,70,g
MEAL-143,زيت زيتون,Olive oil,7,g
MEAL-143,الشبت والحمضيات,Dill Citrus seasoning,2,g
