"external_id","ingredient_order","ingredient_key","name_en","name_ar","quantity","unit","kcal","protein_g","carbs_g","fat_g","source","source_query_url"
"MEAL-001","1","oats","rolled oats, dry","rolled oats, dry","50","g","189.5","6.6","33.9","3.3","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=rolled%20oats%2C%20dry"
"MEAL-001","2","yogurt","nonfat Greek yogurt","nonfat Greek yogurt","170","g","100.3","17.5","6.1","0.7","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=nonfat%20Greek%20yogurt"
"MEAL-001","3","banana","banana","banana","80","g","71.2","0.9","18.2","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=banana"
"MEAL-001","4","berries","mixed berries","mixed berries","70","g","35","0.7","8.4","0.3","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=mixed%20berries"
"MEAL-001","5","chia","chia seeds","chia seeds","8","g","38.9","1.3","3.4","2.5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=chia%20seeds"
"MEAL-002","1","bread","whole-wheat bread","whole-wheat bread","80","g","197.6","10.4","32.8","3.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=whole-wheat%20bread"
"MEAL-002","2","egg","cooked whole egg","cooked whole egg","100","g","155","12.6","1.1","10.6","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20whole%20egg"
"MEAL-002","3","avocado","avocado","avocado","60","g","96","1.2","5.1","8.8","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=avocado"
"MEAL-002","4","tomato","tomato","tomato","80","g","14.4","0.7","3.1","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=tomato"
"MEAL-003","1","egg","cooked whole egg","cooked whole egg","100","g","155","12.6","1.1","10.6","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20whole%20egg"
"MEAL-003","2","eggwhite","cooked egg white","cooked egg white","120","g","62.4","13.1","0.8","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20egg%20white"
"MEAL-003","3","spinach","spinach","spinach","60","g","13.8","1.7","2.2","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=spinach"
"MEAL-003","4","tomato","tomato","tomato","80","g","14.4","0.7","3.1","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=tomato"
"MEAL-003","5","oliveoil","olive oil","olive oil","5","g","44.2","0","0","5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=olive%20oil"
"MEAL-003","6","bread","whole-wheat bread","whole-wheat bread","50","g","123.5","6.5","20.5","2.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=whole-wheat%20bread"
"MEAL-004","1","quinoa","cooked quinoa","cooked quinoa","150","g","180","6.6","32","2.9","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20quinoa"
"MEAL-004","2","yogurt","nonfat Greek yogurt","nonfat Greek yogurt","170","g","100.3","17.5","6.1","0.7","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=nonfat%20Greek%20yogurt"
"MEAL-004","3","apple","apple","apple","120","g","62.4","0.4","16.6","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=apple"
"MEAL-004","4","almonds","almonds","almonds","15","g","86.9","3.2","3.2","7.5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=almonds"
"MEAL-004","5","honey","honey","honey","8","g","24.3","0","6.6","0","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=honey"
"MEAL-005","1","chicken","cooked grilled chicken breast","cooked grilled chicken breast","160","g","264","49.6","0","5.8","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20grilled%20chicken%20breast"
"MEAL-005","2","rice","cooked white rice","cooked white rice","180","g","234","4.9","50.8","0.5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20white%20rice"
"MEAL-005","3","broccoli","cooked broccoli","cooked broccoli","100","g","35","2.4","7.2","0.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20broccoli"
"MEAL-005","4","carrot","cooked carrots","cooked carrots","80","g","28","0.6","6.6","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20carrots"
"MEAL-005","5","oliveoil","olive oil","olive oil","8","g","70.7","0","0","8","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=olive%20oil"
"MEAL-006","1","salmon","cooked salmon","cooked salmon","150","g","309","33","0","18.6","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20salmon"
