"external_id","name_ar","name_en","meal_type","calories","protein_g","carbs_g","fat_g","serving_size","allergens","dietary_tags","review_status","image_master","image_delivery","image_thumbnail"
"MEAL-021","شوفان الموز وزبدة الفول السوداني","Banana Peanut Butter Oats","Breakfast","452","18.1","69.8","13.1","1 serving","milk|peanuts","vegetarian|gluten_free","approved","images/MEAL-021.png","delivery/MEAL-021/cover.webp","thumbnail/MEAL-021/cover-thumb.webp"
"MEAL-022","توست البيض والأفوكادو","Egg and Avocado Toast","Breakfast","425","23.5","37.2","21.4","1 serving","eggs|gluten","vegetarian|high_protein","approved","images/MEAL-022.png","delivery/MEAL-022/cover.webp","thumbnail/MEAL-022/cover-thumb.webp"
"MEAL-023","وعاء الزبادي والتوت والشيا","Yogurt Berry Chia Bowl","Breakfast","356","28","28.9","15.6","1 serving","milk|tree_nuts","vegetarian|gluten_free|high_protein","approved","images/MEAL-023.png","delivery/MEAL-023/cover.webp","thumbnail/MEAL-023/cover-thumb.webp"
"MEAL-024","عجة السبانخ والفيتا","Spinach Feta Omelet","Breakfast","333","29.5","4.7","21.4","1 serving","eggs|milk","vegetarian|gluten_free|high_protein","approved","images/MEAL-024.png","delivery/MEAL-024/cover.webp","thumbnail/MEAL-024/cover-thumb.webp"
"MEAL-025","شوفان التفاح والجوز","Apple Walnut Oatmeal","Breakfast","453","16.7","65.9","15.6","1 serving","milk|tree_nuts","vegetarian|gluten_free","approved","images/MEAL-025.png","delivery/MEAL-025/cover.webp","thumbnail/MEAL-025/cover-thumb.webp"
"MEAL-026","دجاج مشوي مع الأرز والبروكلي","Grilled Chicken with Rice and Broccoli","Lunch","564","54.2","51","15.6","1 serving","","gluten_free|high_protein","approved","images/MEAL-026.png","delivery/MEAL-026/cover.webp","thumbnail/MEAL-026/cover-thumb.webp"
"MEAL-027","سلمون مع الكينوا والكوسا","Salmon with Quinoa and Zucchini","Dinner","536","39.2","36.3","25.6","1 serving","fish","gluten_free|high_protein","approved","images/MEAL-027.png","delivery/MEAL-027/cover.webp","thumbnail/MEAL-027/cover-thumb.webp"
"MEAL-028","لفافة الديك الرومي والأفوكادو","Turkey Avocado Wrap","Lunch","466","43.6","42.2","14.9","1 serving","gluten","high_protein","approved","images/MEAL-028.png","delivery/MEAL-028/cover.webp","thumbnail/MEAL-028/cover-thumb.webp"
"MEAL-029","لحم بقري مع البطاطا الحلوة والفلفل","Beef with Sweet Potato and Peppers","Dinner","526","38.7","44.5","21.1","1 serving","","gluten_free|high_protein","approved","images/MEAL-029.png","delivery/MEAL-029/cover.webp","thumbnail/MEAL-029/cover-thumb.webp"
"MEAL-030","سلطة التونة والحمص","Tuna Chickpea Salad","Lunch","443","42.9","41.4","12.4","1 serving","fish","gluten_free|high_protein","approved","images/MEAL-030.png","delivery/MEAL-030/cover.webp","thumbnail/MEAL-030/cover-thumb.webp"
"MEAL-031","روبيان مع الكسكس والخضار","Shrimp Couscous Vegetable Bowl","Dinner","444","46.9","47.7","7.4","1 serving","gluten|shellfish","high_protein","approved","images/MEAL-031.png","delivery/MEAL-031/cover.webp","thumbnail/MEAL-031/cover-thumb.webp"
"MEAL-032","باستا الدجاج والسبانخ","Chicken Spinach Whole-Wheat Pasta","Lunch","555","53.4","57.4","14.1","1 serving","gluten","high_protein","approved","images/MEAL-032.png","delivery/MEAL-032/cover.webp","thumbnail/MEAL-032/cover-thumb.webp"
"MEAL-033","وعاء العدس والبرغل والطحينة","Lentil Bulgur Tahini Bowl","Lunch","439","22.7","69.6","10.9","1 serving","gluten|sesame","vegetarian|vegan","approved","images/MEAL-033.png","delivery/MEAL-033/cover.webp","thumbnail/MEAL-033/cover-thumb.webp"
"MEAL-034","توفو مع الأرز البني والبروكلي","Tofu Brown Rice Broccoli Bowl","Dinner","554","36.5","54.8","25","1 serving","sesame|soy","vegetarian|vegan|gluten_free|high_protein","approved","images/MEAL-034.png","delivery/MEAL-034/cover.webp","thumbnail/MEAL-034/cover-thumb.webp"
"MEAL-035","فلفل محشو بالديك الرومي والكينوا","Turkey Quinoa Stuffed Pepper","Dinner","477","52.5","44.4","9.4","1 serving","milk","gluten_free|high_protein","approved","images/MEAL-035.png","delivery/MEAL-035/cover.webp","thumbnail/MEAL-035/cover-thumb.webp"
"MEAL-036","سلطة السلمون والبطاطس","Salmon Potato Salad","Lunch","499","38.5","50.7","16.4","1 serving","fish|milk","gluten_free|high_protein","approved","images/MEAL-036.png","delivery/MEAL-036/cover.webp","thumbnail/MEAL-036/cover-thumb.webp"
"MEAL-037","وعاء الفاصوليا السوداء والأرز","Black Bean Rice Bowl","Lunch","512","20.7","87.9","10","1 serving","","vegetarian|vegan|gluten_free","approved","images/MEAL-037.png","delivery/MEAL-037/cover.webp","thumbnail/MEAL-037/cover-thumb.webp"
"MEAL-038","شوربة العدس مع خبز القمح","Lentil Soup with Whole-Wheat Bread","Dinner","498","29.2","80.4","8.8","1 serving","gluten","vegetarian|vegan","approved","images/MEAL-038.png","delivery/MEAL-038/cover.webp","thumbnail/MEAL-038/cover-thumb.webp"
"MEAL-039","سلطة الكينوا والحمص والفيتا","Quinoa Chickpea Feta Salad","Lunch","527","22.5","68.8","19.3","1 serving","milk","vegetarian|gluten_free","approved","images/MEAL-039.png","delivery/MEAL-039/cover.webp","thumbnail/MEAL-039/cover-thumb.webp"
"MEAL-040","دجاج مع البرغل والخضار المشوية","Chicken Bulgur Roasted Vegetables","Dinner","490","52.4","40.7","13.2","1 serving","gluten","high_protein","approved","images/MEAL-040.png","delivery/MEAL-040/cover.webp","thumbnail/MEAL-040/cover-thumb.webp"
"MEAL-041","جبن قريش مع الأناناس والجوز","Cottage Cheese Pineapple Walnut Bowl","Snack","302","24.6","24.2","12.5","1 serving","milk|tree_nuts","vegetarian|gluten_free|high_protein","approved","images/MEAL-041.png","delivery/MEAL-041/cover.webp","thumbnail/MEAL-041/cover-thumb.webp"
"MEAL-042","تفاح مع زبدة الفول السوداني","Apple with Peanut Butter","Snack","241","6.8","29.8","12.9","1 serving","peanuts","vegetarian|vegan|gluten_free","approved","images/MEAL-042.png","delivery/MEAL-042/cover.webp","thumbnail/MEAL-042/cover-thumb.webp"
"MEAL-043","زبادي بالموز والكاكاو","Banana Cocoa Yogurt","Snack","278","22.7","41.8","5.2","1 serving","milk","vegetarian|gluten_free|high_protein","approved","images/MEAL-043.png","delivery/MEAL-043/cover.webp","thumbnail/MEAL-043/cover-thumb.webp"
"MEAL-044","كعك الأرز بالتونة والأفوكادو","Tuna Avocado Rice Cakes","Snack","294","26.6","28.8","8.2","1 serving","fish","gluten_free|high_protein","approved","images/MEAL-044.png","delivery/MEAL-044/cover.webp","thumbnail/MEAL-044/cover-thumb.webp"
"MEAL-045","تمر محشو بزبدة الفول السوداني","Peanut Butter Stuffed Dates","Pre-workout","272","5.6","48.6","9.1","1 serving","peanuts","vegetarian|vegan|gluten_free","approved","images/MEAL-045.png","delivery/MEAL-045/cover.webp","thumbnail/MEAL-045/cover-thumb.webp"
"MEAL-046","موز مع كعك الأرز والعسل","Banana Rice Cakes with Honey","Pre-workout","252","3.7","60.1","1.1","1 serving","","vegetarian|vegan|gluten_free","approved","images/MEAL-046.png","delivery/MEAL-046/cover.webp","thumbnail/MEAL-046/cover-thumb.webp"
"MEAL-047","شوفان التوت قبل التمرين","Berry Oats Pre-Workout Bowl","Pre-workout","327","12.9","59.7","5","1 serving","milk","vegetarian|gluten_free","approved","images/MEAL-047.png","delivery/MEAL-047/cover.webp","thumbnail/MEAL-047/cover-thumb.webp"
"MEAL-048","توست الديك الرومي والموزاريلا","Turkey Mozzarella Toast","Pre-workout","355","38.9","31.7","8.3","1 serving","gluten|milk","high_protein","approved","images/MEAL-048.png","delivery/MEAL-048/cover.webp","thumbnail/MEAL-048/cover-thumb.webp"
"MEAL-049","سموثي المانجو والبروتين","Mango Protein Smoothie","Post-workout","382","43.6","40.4","6.8","1 serving","milk","vegetarian|gluten_free|high_protein","approved","images/MEAL-049.png","delivery/MEAL-049/cover.webp","thumbnail/MEAL-049/cover-thumb.webp"
"MEAL-050","وعاء الزبادي والموز والبروتين","Banana Protein Yogurt Bowl","Post-workout","415","46.8","45.7","6.8","1 serving","milk","vegetarian|gluten_free|high_protein","approved","images/MEAL-050.png","delivery/MEAL-050/cover.webp","thumbnail/MEAL-050/cover-thumb.webp"
"MEAL-051","دجاج وبطاطس بعد التمرين","Chicken and Potato Post-Workout Plate","Post-workout","564","58.2","57.4","11.5","1 serving","","gluten_free|high_protein","approved","images/MEAL-051.png","delivery/MEAL-051/cover.webp","thumbnail/MEAL-051/cover-thumb.webp"
"MEAL-052","تونة مع الأرز بعد التمرين","Tuna Rice Post-Workout Bowl","Post-workout","467","42.1","54.6","8.3","1 serving","fish","gluten_free|high_protein","approved","images/MEAL-052.png","delivery/MEAL-052/cover.webp","thumbnail/MEAL-052/cover-thumb.webp"
"MEAL-053","إدامامي وكينوا بالخضار","Edamame Quinoa Vegetable Bowl","Dinner","494","31.2","63.6","15.7","1 serving","sesame|soy","vegetarian|vegan|gluten_free|high_protein","approved","images/MEAL-053.png","delivery/MEAL-053/cover.webp","thumbnail/MEAL-053/cover-thumb.webp"
"MEAL-054","برغر لحم مفتوح مع البطاطس","Open Beef Burger with Potatoes","Dinner","603","48.4","60.7","18.9","1 serving","gluten","high_protein","approved","images/MEAL-054.png","delivery/MEAL-054/cover.webp","thumbnail/MEAL-054/cover-thumb.webp"
"MEAL-055","لفافة الدجاج والطحينة","Chicken Tahini Wrap","Lunch","548","50.1","44.3","19.9","1 serving","gluten|sesame","high_protein","approved","images/MEAL-055.png","delivery/MEAL-055/cover.webp","thumbnail/MEAL-055/cover-thumb.webp"
"MEAL-056","شوربة الحمص والسبانخ","Chickpea Spinach Soup","Dinner","417","20.1","63.6","11.4","1 serving","","vegetarian|vegan|gluten_free","approved","images/MEAL-056.png","delivery/MEAL-056/cover.webp","thumbnail/MEAL-056/cover-thumb.webp"
"MEAL-057","سلطة الروبيان والأفوكادو","Shrimp Avocado Salad","Lunch","359","40.9","17.9","16.3","1 serving","shellfish","gluten_free|high_protein","approved","images/MEAL-057.png","delivery/MEAL-057/cover.webp","thumbnail/MEAL-057/cover-thumb.webp"
"MEAL-058","طبق التوفو والبطاطا الحلوة","Tofu Sweet Potato Plate","Dinner","556","38.8","57.9","23.7","1 serving","sesame|soy","vegetarian|vegan|gluten_free|high_protein","approved","images/MEAL-058.png","delivery/MEAL-058/cover.webp","thumbnail/MEAL-058/cover-thumb.webp"
"MEAL-059","ساندويتش البيض والسبانخ","Egg Spinach Sandwich","Breakfast","389","28.5","34.1","15.9","1 serving","eggs|gluten|milk","vegetarian|high_protein","approved","images/MEAL-059.png","delivery/MEAL-059/cover.webp","thumbnail/MEAL-059/cover-thumb.webp"
"MEAL-060","وعاء الكسكس والتونة والخضار","Tuna Couscous Vegetable Bowl","Lunch","463","42.3","53.9","7.9","1 serving","fish|gluten","high_protein","approved","images/MEAL-060.png","delivery/MEAL-060/cover.webp","thumbnail/MEAL-060/cover-thumb.webp"
